,time,Open,High,Low,Close,Volume,SMA_20,SMA_50,EMA_20,MACD,MACD_Signal,RSI,Stoch,Stoch_Signal,BB_High,BB_Low,BB_Mid,ATR,OBV,Force_Index,Conversion_Line,Base_Line,Leading_Span_A,Leading_Span_B,Lagging_Span,Fib_Level 0.0,Fib_Level 0.236,Fib_Level 0.382,Fib_Level 0.5,Fib_Level 0.618,Fib_Level 0.786,Fib_Level 1.0
90,2024-10-09,61.07,61.41,60.8,60.87,2176865,61.133500000000005,60.412,61.190732754393956,0.3135339755727813,0.39627383256906085,48.32341570632487,12.217194570135561,31.39026209991243,62.58459992764119,59.68240007235882,61.133500000000005,0.7481860163855086,20185880,-80704.1574229169,61.805,60.835,60.535000000000004,59.6,61.54,52.0,55.9176,58.3412,60.3,62.258799999999994,65.04759999999999,68.6
91,2024-10-10,61.74,62.21,61.0,61.47,1326569,61.213499999999996,60.4708,61.217329634927864,0.2991354982686403,0.3768461657089768,54.376618407519196,33.333333333333336,24.233283056812414,62.548959097089934,59.87804090291006,61.213499999999996,0.790458443786544,21512449,44530.92220892863,61.805,60.835,60.767500000000005,59.6,61.34,52.0,55.9176,58.3412,60.3,62.258799999999994,65.04759999999999,68.6
92,2024-10-11,61.47,61.47,61.0,61.2,1084336,61.266999999999996,60.501400000000004,61.21567919350616,0.2629072268962389,0.35405837794642925,51.4556829474273,19.900497512438044,21.817008471968972,62.50685644330313,60.02714355669686,61.266999999999996,0.7675685549446479,20428113,-3655.026678060556,61.805,60.835,60.73500000000001,59.6,60.87,52.0,55.9176,58.3412,60.3,62.258799999999994,65.04759999999999,68.6
93,2024-10-14,61.67,61.67,61.07,61.14,931995,61.3505,60.510799999999996,61.20847165126748,0.22674083505864218,0.32859486936887183,50.802600697919175,16.915422885572266,23.38308457711454,62.28148818467277,60.419511815327226,61.3505,0.7555993724486018,19496118,-11121.408581195064,61.805,60.835,60.61750000000001,59.6,60.2,52.0,55.9176,58.3412,60.3,62.258799999999994,65.04759999999999,68.6
94,2024-10-15,61.07,61.61,61.07,61.14,1431969,61.3805,60.547,61.201950541622956,0.1958214017379234,0.30204017584268217,50.802600697919175,16.915422885572266,17.91044776119418,62.24109223793868,60.519907762061315,61.3805,0.7401994172737015,20928087,-9532.635926738627,61.805,60.835,60.485,59.6,60.4,52.0,55.9176,58.3412,60.3,62.258799999999994,65.04759999999999,68.6
95,2024-10-16,61.14,61.41,61.07,61.2,1293521,61.397000000000006,60.6084,61.2017647757541,0.17415151635287884,0.2764624439447215,51.516274708831,19.900497512438044,17.91044776119418,62.23002100813864,60.56397899186137,61.397000000000006,0.711613744611294,22221608,2916.4920627958804,61.504999999999995,60.835,60.417500000000004,59.6,60.54,52.0,55.9176,58.3412,60.3,62.258799999999994,65.04759999999999,68.6
96,2024-10-17,61.54,61.74,61.34,61.67,1286287,61.420500000000004,60.674,61.246358606634665,0.19268193075089357,0.25970634130595593,56.80252139025071,43.283582089552354,26.699834162520876,62.2564778705207,60.58452212947931,61.420500000000004,0.6993556199962015,23507895,88864.83462525338,61.504999999999995,60.97,60.25,59.6,60.6,52.0,55.9176,58.3412,60.3,62.258799999999994,65.04759999999999,68.6
97,2024-10-18,62.01,62.27,61.54,61.81,1164056,61.480999999999995,60.73700000000001,61.300038739336124,0.21617234737895785,0.25099954252055634,58.26232540451619,50.2487562189056,37.810945273631994,62.2425221598879,60.71947784011209,61.480999999999995,0.7015445042821875,24671951,99450.97825021729,61.535,61.035,60.25,59.665000000000006,61.07,52.0,55.9176,58.3412,60.3,62.258799999999994,65.04759999999999,68.6
98,2024-10-21,61.87,62.41,61.54,61.54,1425147,61.517999999999994,60.8,61.32289219273268,0.2105745558781038,0.24291454519206584,54.44125783187061,36.81592039800996,43.44941956882263,62.21253869582647,60.82346130417352,61.517999999999994,0.7135770396906025,23246804,30273.739928757048,61.605,61.035,60.2825,60.0,61.81,52.0,55.9176,58.3412,60.3,62.258799999999994,65.04759999999999,68.6
99,2024-10-22,61.54,61.67,61.14,61.14,1260601,61.525,60.8496,61.3054738886629,0.17188027984890653,0.228707692123434,49.28437711375588,16.915422885572266,34.66003316749593,62.201091709755666,60.84890829024433,61.525,0.7004643939984166,21986203,-46085.42291820799,61.705,61.035,60.1175,60.165000000000006,62.01,52.0,55.9176,58.3412,60.3,62.258799999999994,65.04759999999999,68.6
100,2024-10-23,61.0,61.41,61.0,61.2,750353,61.481500000000004,60.898999999999994,61.295428756409294,0.1443918267793194,0.2118445190546111,50.048708336178,24.844720496894773,26.19202126015899,62.1227885466,60.84021145340001,61.481500000000004,0.6797169372842438,22736556,-33070.19392989232,61.705,61.405,60.1325,60.165000000000006,61.94,52.0,55.9176,58.3412,60.3,62.258799999999994,65.04759999999999,68.6
