time,Unnamed: 0,open,high,low,close,volume,returns,volatility,volume_sma20,volume_ratio,volume_class,accumulation,distribution,local_min,local_max,rsi,stoch_k,stoch_d,macd,adx,rsi_signal,stoch_signal,macd_signal,volume_signal,swing_signal,swing_strength
2024-09-17,74,66.68,67.97,66.4,67.97,2392584,0.02087714028236709,0.012914091078360813,4022683.8,0.5947730716493302,Very Low,False,False,66.4,69.92,50.82307191085302,44.602272727272585,18.224738391105262,-0.4003520777244064,23.078679357766585,0,0,-1,0,-1,Sell
2024-09-18,75,68.16,68.44,67.6,67.88,2847879,-0.0013241135795204473,0.010806434729763793,3768843.85,0.7556373024050863,Low,False,False,66.4,69.92,50.317597825671164,42.045454545454305,28.882575757575626,-0.37674551247178,21.81910190123988,0,0,-1,0,-1,Sell
2024-09-19,76,67.88,68.07,67.6,67.88,1574276,0.0,0.010780570478818722,3638460.85,0.4326763609398188,Very Low,False,False,66.4,69.92,50.317597825671164,42.045454545454305,42.89772727272706,-0.3491716988525424,20.64949426303651,0,0,-1,0,-1,Sell
2024-09-20,77,68.07,68.53,67.33,67.33,5234412,-0.008102533883323493,0.010869548193556053,3700446.15,1.4145353797406295,Very High,False,True,66.4,69.92,47.00426690292373,26.420454545454366,36.837121212121,-0.35486063785681254,19.275074416549163,0,0,-1,-1,-2,Sell
2024-09-23,78,67.7,67.79,67.23,67.51,2933886,0.002673399673251309,0.010466980639587401,3545541.35,0.8274860480755639,Normal,False,False,65.55,69.92,48.2062997949977,31.534090909090928,33.333333333333194,-0.3337041084542729,17.906286494369144,0,0,-1,0,-1,Sell
2024-09-24,79,68.04,68.04,67.17,67.37,2080216,-0.002073766849355674,0.01018421182831807,3484026.4,0.5970723987625353,Very Low,False,False,64.3,69.92,47.30753514568529,27.55681818181818,28.503787878787822,-0.31649149302537777,16.896582809269496,0,0,-1,0,-1,Sell
2024-09-25,80,67.37,67.46,66.7,66.7,4525095,-0.009945079412201352,0.00943455462604082,3393799.3,1.33334195690358,Very High,False,True,64.3,69.64,43.1603049685799,8.522727272727202,22.53787878787877,-0.33575517390322307,15.959981928831908,0,0,-1,-1,-2,Sell
2024-09-26,81,66.7,68.13,66.7,67.75,3987434,0.015742128935532174,0.010136871913124661,3379672.45,1.1798285363423309,High,True,False,64.3,69.64,50.48609075576695,38.352272727272606,24.810606060605995,-0.26634002093552445,15.294915565989248,0,0,-1,1,0,Neutral
2024-09-27,82,67.85,68.23,67.75,68.04,2971446,0.004280442804428075,0.01010639683228987,3360494.1,0.8842288995537888,Normal,False,False,64.3,69.27,52.314130219013926,46.59090909090916,31.155303030302992,-0.19287593164825234,14.783383407087785,0,0,-1,0,-1,Sell
2024-09-30,83,68.04,68.04,67.17,67.17,2046753,-0.012786596119929494,0.01043421527786839,3360599.3,0.6090440475899641,Very Low,False,False,64.3,68.53,46.73912972309579,23.76543209876535,36.23620463898237,-0.19431404323638024,13.84430495792691,0,0,-1,0,-1,Sell
2024-10-01,84,67.27,67.75,67.17,67.17,2042595,0.0,0.010338716518604033,3278777.7,0.6229745310272178,Very Low,False,False,64.3,68.53,46.73912972309579,23.76543209876535,31.373924429479953,-0.18665976651904412,12.972303540848957,0,0,-1,0,-1,Sell
2024-10-02,85,67.27,67.27,66.7,67.17,2142472,0.0,0.010235727234931139,3243798.9,0.6604823745393095,Low,False,False,63.92,68.53,46.73912972309579,26.82926829268288,24.78671083007119,-0.17328237142899194,12.712477484574725,0,0,-1,0,-1,Sell
2024-10-03,86,67.27,67.56,66.98,67.37,2949988,0.0029775197260681896,0.01016896873662373,3098190.8,0.9521647278792514,Normal,False,False,63.92,68.53,48.32041317922679,45.53990610328643,32.04486883157822,-0.14386062343442843,12.085141085151507,0,0,-1,0,-1,Sell
2024-10-04,87,67.56,67.56,65.55,65.64,6140641,-0.025679085646430178,0.011203603816815188,3222969.8,1.905274135674495,Very High,False,True,63.92,68.53,37.85180672952203,3.02013422818803,25.12976954138578,-0.22876512622436335,12.929474480013448,0,0,-1,-1,-2,Sell
2024-10-07,88,65.83,66.41,64.3,64.3,5995180,-0.02041438147471064,0.011820036255350856,3390652.85,1.7681491633683466,Very High,False,True,63.92,68.23,32.05829338093301,0.0,16.186680110491483,-0.3554659829182269,14.603244264443642,0,1,-1,-1,-1,Sell
2024-10-08,89,64.4,65.35,64.4,65.35,2890240,0.016329704510108733,0.012603091625448096,3368397.2,0.8580460760387759,Normal,False,False,63.92,68.23,39.82981293018335,24.822695035460903,9.280943087882978,-0.3483877208353373,16.157459064271677,0,0,-1,0,-1,Sell
2024-10-09,90,65.45,65.74,64.97,64.97,3532506,-0.005814843152256999,0.012617813229530633,3386628.4,1.0430745811970394,High,False,True,63.92,68.23,38.129946980833594,15.839243498817993,13.553979511426299,-0.3482955662019466,17.055979103579368,0,1,-1,-1,-1,Sell
2024-10-10,91,65.45,65.93,64.87,64.87,2625177,-0.0015391719255040126,0.012580191332048095,3415165.85,0.7686821417472302,Low,False,False,63.92,68.23,37.67427492392695,14.503816793893293,18.38858510939073,-0.3339242173553818,17.628220682397476,0,1,-1,0,0,Neutral
2024-10-11,92,65.26,65.35,64.68,64.87,2373079,0.0,0.011576936208641914,3266286.5,0.72653730773464,Low,False,False,63.92,68.23,37.674274923926944,14.503816793893293,14.948959028868193,-0.30421346884500655,18.318987485977573,0,1,-1,0,0,Neutral
2024-10-14,93,65.26,65.26,64.3,64.4,2825429,-0.007245259750269795,0.011314325781808736,3205564.4,0.8814138939152182,Normal,False,False,63.92,68.04,35.370228198110254,2.5445292620867264,10.517387616624438,-0.29574670629324395,19.273433029288693,0,1,-1,0,0,Neutral
2024-10-15,94,64.4,64.59,63.92,64.01,3078240,-0.006055900621118049,0.010027617992879573,3239847.2,0.9501188821497507,Normal,False,False,63.92,67.75,33.53737821164739,2.088167053364347,6.378837703114789,-0.2952596245870952,20.4571719189769,0,1,-1,0,0,Neutral
2024-10-16,95,64.01,65.26,64.01,64.68,2006161,0.010467114513357245,0.01046524736276708,3197761.3,0.6273642125820962,Very Low,False,False,63.92,67.56,39.35174283334121,17.633410672853937,7.422035662768337,-0.23147990581474476,20.549757604093408,0,1,-1,0,0,Neutral
2024-10-17,96,64.78,65.07,64.49,64.78,1658879,0.0015460729746443747,0.010489274765798931,3201991.45,0.5180772734418139,Very Low,False,False,63.53,67.56,40.192728634359824,20.873786407766953,13.531788044661747,-0.16722150540760516,20.635730025987307,0,0,-1,0,-1,Sell
2024-10-18,97,64.78,65.16,64.59,64.59,1599576,-0.002933004013584428,0.01040162418634658,3020249.65,0.5296171460528106,Very Low,False,False,62.57,67.56,39.08379551348376,17.49347258485645,18.66688988849245,-0.12415759902757628,20.577247481797276,0,1,-1,0,0,Neutral
