time,rsi,stoch_k,stoch_d,macd,adx
2024-11-20,29.152515748321818,19.154929577464795,6.384976525821595,-0.1469471213402086,33.43829087112348
2024-11-21,32.88068614779448,27.042253521126607,15.399061032863798,-0.0898483657863356,33.856328992704405
2024-11-22,37.79106861949402,42.58675078864343,29.594644629078275,-0.01524228492000157,32.91244037384589
2024-11-25,37.79106861949402,42.58675078864343,37.40525169947115,0.04157192560085554,32.03597237062013
2024-11-26,43.67312848470867,57.72870662460572,47.63406940063086,0.11479396948334386,30.517453423567247
2024-11-27,41.89559220120692,51.4195583596214,50.578338590956854,0.1508040548374311,29.10740011558957
2024-11-28,41.08521551610898,55.395683453237496,54.847982812488205,0.1682789273976949,27.798064901038874
2024-11-29,42.28740761730335,60.59479553903334,55.80334578396407,0.18432386374237908,26.884326427228377
2024-12-02,41.378112341768656,59.45945945945951,58.483312817243444,0.18672415083588678,26.194687943760137
2024-12-03,36.004989940832786,47.52475247524731,55.85966915791338,0.14875017172298688,26.000890082981066
2024-12-04,31.654633033930793,19.30693069306902,42.097047542591945,0.0877601883733059,26.574352917113
2024-12-05,43.94019061715977,66.83168316831669,44.554455445544335,0.11298241759013494,25.507686460447427
2024-12-06,42.236777399193585,56.930693069306976,47.68976897689756,0.11663260069006143,24.335163952546452
2024-12-09,42.2367773991936,56.930693069306976,60.23102310231021,0.1190681980483711,23.38695941553708
2024-12-10,40.506652705396,38.72832369942172,50.863236612678556,0.10821810192238968,22.666886808808222
2024-12-11,44.2597078928702,55.491329479768936,50.3834487494992,0.11999539816288818,21.60066192278691
2024-12-12,48.8160914413288,77.45664739884386,57.2254335260115,0.15080781620187866,20.079906946631873
2024-12-13,44.8664520475899,55.491329479768936,62.813102119460574,0.14309069592402668,18.816910462145362
2024-12-16,53.139947375474165,90.10416666666676,74.35071451509317,0.1846927324173151,18.49401840170853
2024-12-17,49.11940411253627,69.79166666666667,71.79572093770078,0.1805767712816566,18.194190059874327
2024-12-18,50.16065649733207,75.0000000000001,78.29861111111117,0.17888050470298184,18.067411146768848
2024-12-19,42.88338915292568,34.89583333333315,59.89583333333329,0.12286070451696163,17.149245940848502
2024-12-20,52.993632963015614,90.10416666666676,66.66666666666667,0.1522349167702446,16.38543119414789
2024-12-23,47.98821229737096,59.89583333333343,61.631944444444436,0.12858465408839737,15.67617464364018
2024-12-24,47.242537770926226,55.208333333333236,68.40277777777781,0.10391704845596739,14.630778241015415
2024-12-25,48.11085011397793,38.40000000000032,51.16805555555566,0.09115524013334816,14.009716483844267
2024-12-26,47.27295527692218,31.200000000000045,41.60277777777787,0.07482980927280902,13.246770297865
2024-12-27,47.27295527692218,31.200000000000045,33.600000000000136,0.06269961237827815,12.327166034305309
2024-12-30,42.675732379270656,0.0,20.800000000000026,0.02305940809195875,12.171473055473053
2024-12-31,43.77971392716524,6.716417910447504,12.638805970149178,0.004577980461481307,11.799951991460473
2025-01-02,41.037245277898144,0.0,2.2388059701491634,-0.023933855293451822,11.843667008237139
2025-01-03,40.19569989385895,5.780346820809341,4.1655882437522775,-0.044419836134575674,12.237525520295202
2025-01-06,35.88142974652102,0.0,1.926782273603109,-0.08422728137051319,13.258298408366759
2025-01-07,30.365835559562242,3.460207612456796,3.080184811088708,-0.1517352489694675,15.310732190496665
2025-01-08,30.365835559562242,15.094339622641636,6.184849078366139,-0.1835810516592245,17.589822016077555
2025-01-09,31.941570375854425,18.238993710691773,12.264513648596731,-0.184604905942018,19.70611971125981
